Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
000001.SS,2021-05-21,3510.840088,3518.379883,3479.669922,3486.560059,3486.560059,283800.0,557.84960944
000001.SS,2021-05-24,3486.27002,3498.300049,3469.870117,3497.280029,3497.280029,289500.0,559.56480464
000001.SS,2021-05-25,3502.540039,3584.580078,3502.439941,3581.340088,3581.340088,341200.0,573.01441408
000001.SS,2021-05-26,3586.840088,3603.48999,3585.370117,3593.360107,3593.360107,342000.0,574.93761712
000001.SS,2021-05-27,3585.72998,3626.360107,3579.26001,3608.850098,3608.850098,309600.0,577.41601568
000001.SS,2021-05-28,3610.77002,3622.179932,3582.360107,3600.780029,3600.780029,349200.0,576.12480464
000001.SS,2021-05-31,3600.070068,3615.659912,3580.649902,3615.47998,3615.47998,331500.0,578.4767968
N225,2021-03-22,29444.09961,29472.98047,29107.63086,29174.15039,29174.15039,78800000.0,291.7415039
N225,2021-03-23,29381.49023,29496.83008,28995.91992,28995.91992,28995.91992,79200000.0,289.9591992
N225,2021-03-24,28765.55078,28867.66992,28379.06055,28405.51953,28405.51953,96000000.0,284.05519530000004
N225,2021-03-25,28457.33008,28821.83008,28414.91992,28729.88086,28729.88086,72800000.0,287.29880860000003
N225,2021-03-26,29068.51953,29240.74023,28953.2207,29176.69922,29176.69922,73700000.0,291.7669922
N225,2021-03-29,29478.11914,29578.36914,29200.88086,29384.51953,29384.51953,107900000.0,293.8451953
N225,2021-03-30,29365.03906,29478.19922,29283.89063,29432.69922,29432.69922,79900000.0,294.3269922
N225,2021-03-31,29278.33008,29348.99023,29165.51953,29178.80078,29178.80078,82000000.0,291.7880078
N225,2021-04-01,29441.91016,29585.46094,29318.82031,29388.86914,29388.86914,75600000.0,293.8886914
N225,2021-04-02,29704.66016,29869.66992,29694.08984,29854.0,29854.0,57200000.0,298.54
N225,2021-04-05,30084.60938,30195.0,30024.25,30089.25,30089.25,55400000.0,300.8925
N225,2021-04-06,30208.89063,30208.89063,29665.85938,29696.63086,29696.63086,65500000.0,296.9663086
N225,2021-04-07,29743.48047,29867.93945,29523.55078,29730.78906,29730.78906,61500000.0,297.3078906
N225,2021-04-08,29675.88086,29744.78906,29516.41992,29708.98047,29708.98047,62600000.0,297.0898047
N225,2021-04-09,29865.5293,30064.34961,29768.06055,29768.06055,29768.06055,64900000.0,297.6806055
N225,2021-04-12,29874.42969,29876.03906,29538.73047,29538.73047,29538.73047,50200000.0,295.3873047
N225,2021-04-13,29605.68945,29897.10938,29573.78906,29751.60938,29751.60938,54900000.0,297.5160938
N225,2021-04-14,29718.06055,29722.40039,29567.17969,29620.99023,29620.99023,57200000.0,296.2099023
N225,2021-04-15,29573.90039,29787.66016,29558.55078,29642.68945,29642.68945,50600000.0,296.4268945
N225,2021-04-16,29789.08008,29789.08008,29621.83008,29683.36914,29683.36914,49100000.0,296.8336914
N225,2021-04-19,29688.32031,29808.00977,29530.83984,29685.36914,29685.36914,44700000.0,296.8536914
N225,2021-04-20,29355.86914,29361.2793,29014.35938,29100.38086,29100.38086,59900000.0,291.0038086
N225,2021-04-21,28660.35938,28778.92969,28419.83984,28508.55078,28508.55078,71000000.0,285.0855078
N225,2021-04-22,28880.7793,29192.39063,28800.85938,29188.16992,29188.16992,55100000.0,291.8816992
N225,2021-04-23,28939.11914,29035.33984,28770.61914,29020.63086,29020.63086,47500000.0,290.2063086
N225,2021-04-26,29095.49023,29241.2793,28896.36914,29126.23047,29126.23047,49200000.0,291.2623047
N225,2021-04-27,29174.5293,29187.10938,28990.18945,28991.89063,28991.89063,59400000.0,289.9189063
N225,2021-04-28,28935.50977,29139.69922,28875.91016,29053.9707,29053.9707,61400000.0,290.539707
N225,2021-04-30,28996.66016,29046.49023,28760.26953,28812.63086,28812.63086,78400000.0,288.1263086
N225,2021-05-06,29024.00977,29430.2207,28966.4707,29331.36914,29331.36914,94300000.0,293.3136914
N225,2021-05-07,29330.44922,29449.85938,29237.35938,29357.82031,29357.82031,67500000.0,293.5782031
N225,2021-05-10,29376.89063,29685.41016,29346.14063,29518.33984,29518.33984,66300000.0,295.1833984
N225,2021-05-11,29238.56055,29289.11914,28535.35938,28608.58984,28608.58984,73200000.0,286.0858984
N225,2021-05-12,28712.09961,28831.0293,27888.58984,28147.50977,28147.50977,90000000.0,281.4750977
N225,2021-05-13,27929.00977,27961.96094,27385.0293,27448.00977,27448.00977,80500000.0,274.4800977
N225,2021-05-14,27723.69922,28139.96094,27723.69922,28084.4707,28084.4707,73500000.0,280.844707
N225,2021-05-17,28310.46094,28312.7793,27632.5293,27824.83008,27824.83008,63900000.0,278.2483008
N225,2021-05-18,27931.57031,28481.16992,27931.57031,28406.83984,28406.83984,74700000.0,284.06839840000004
N225,2021-05-19,28031.2207,28216.65039,27842.98047,28044.44922,28044.44922,68700000.0,280.4444922
N225,2021-05-20,27875.5,28176.86914,27821.96094,28098.25,28098.25,56800000.0,280.9825
N225,2021-05-21,28269.60938,28411.56055,28193.0293,28317.83008,28317.83008,58700000.0,283.1783008
N225,2021-05-24,28212.32031,28584.17969,28212.32031,28364.60938,28364.60938,54700000.0,283.6460938
N225,2021-05-25,28516.99023,28576.9707,28443.74023,28553.98047,28553.98047,54000000.0,285.5398047
N225,2021-05-26,28396.61914,28710.83008,28396.61914,28642.18945,28642.18945,64200000.0,286.4218945
N225,2021-05-27,28543.32031,28587.21094,28360.56055,28549.00977,28549.00977,138200000.0,285.49009770000004
N225,2021-05-28,28912.53906,29194.10938,28899.66016,29149.41016,29149.41016,80600000.0,291.4941016
N225,2021-05-31,29019.44922,29147.71094,28791.59961,28860.08008,28860.08008,53800000.0,288.6008008
N225,2021-06-01,28998.65039,29075.4707,28611.25,28814.33984,28814.33984,47400000.0,288.1433984
N225,2021-06-02,28730.81055,29003.55078,28565.83008,28946.14063,28946.14063,71000000.0,289.4614063
N225,2021-06-03,28890.39063,29157.16016,28879.15039,29058.10938,29058.10938,0.0,290.5810938
N100,2021-04-22,1226.530029,1233.839966,1225.209961,1232.349976,1232.349976,186883100.0,1503.4669707199998
N100,2021-04-23,1229.640015,1233.099976,1224.359985,1231.790039,1231.790039,177828300.0,1502.78384758
N100,2021-04-26,1231.180054,1235.72998,1228.459961,1233.609985,1233.609985,172095400.0,1505.0041817
N100,2021-04-27,1232.810059,1234.140015,1228.839966,1231.619995,1231.619995,168308700.0,1502.5763939
N100,2021-04-28,1234.75,1239.219971,1232.280029,1236.060059,1236.060059,171253600.0,1507.99327198
N100,2021-04-29,1242.380005,1245.819946,1232.449951,1235.02002,1235.02002,203431400.0,1506.7244244
N100,2021-04-30,1237.76001,1238.099976,1228.380005,1228.380005,1228.380005,191440300.0,1498.6236061
N100,2021-05-03,1231.02002,1236.699951,1225.310059,1235.439941,1235.439941,153353800.0,1507.23672802
N100,2021-05-04,1237.959961,1241.109985,1216.02002,1218.099976,1218.099976,215223500.0,1486.0819707199998
N100,2021-05-05,1227.359985,1238.939941,1225.609985,1238.810059,1238.810059,214677400.0,1511.34827198
N100,2021-05-06,1240.680054,1244.98999,1233.609985,1240.099976,1240.099976,205457300.0,1512.92197072
N100,2021-05-07,1246.810059,1248.199951,1239.030029,1248.140015,1248.140015,192110800.0,1522.7308183
